Observation station,Year,Month,Day,Snow depth mean [cm],Date,Average temperature [°C],cloud_code,Global radiation mean [W/m2]
Lahti Laune,2004,1,1,15.0,2004-01-01,-10.4,,14
Lahti Laune,2004,1,2,15.0,2004-01-02,-16.0,,"14,2"
Lahti Laune,2004,1,3,14.8,2004-01-03,-20.9,,11
Lahti Laune,2004,1,4,15.1,2004-01-04,-8.8,,"5,2"
Lahti Laune,2004,1,5,17.3,2004-01-05,-6.9,,"6,1"
Lahti Laune,2004,1,6,17.7,2004-01-06,-8.3,,"4,6"
Lahti Laune,2004,1,7,18.0,2004-01-07,-3.9,,"3,9"
Lahti Laune,2004,1,8,18.3,2004-01-08,-5.5,,3
Lahti Laune,2004,1,9,18.3,2004-01-09,-6.6,,"4,6"
Lahti Laune,2004,1,10,17.9,2004-01-10,-10.7,,"6,2"
Lahti Laune,2004,1,11,18.2,2004-01-11,-10.0,,"3,2"
Lahti Laune,2004,1,12,18.9,2004-01-12,-7.2,,"3,3"
Lahti Laune,2004,1,13,19.9,2004-01-13,-1.2,,"3,4"
Lahti Laune,2004,1,14,21.5,2004-01-14,-4.1,,"4,1"
Lahti Laune,2004,1,15,23.0,2004-01-15,-5.1,,"8,9"
Lahti Laune,2004,1,16,23.0,2004-01-16,-8.4,,"12,8"
Lahti Laune,2004,1,17,23.7,2004-01-17,-6.7,,"4,8"
Lahti Laune,2004,1,18,24.0,2004-01-18,-5.4,,"13,8"
Lahti Laune,2004,1,19,24.0,2004-01-19,-10.5,,"8,9"
Lahti Laune,2004,1,20,23.5,2004-01-20,-15.4,,"22,6"
Lahti Laune,2004,1,21,24.1,2004-01-21,-16.6,,"24,1"
Lahti Laune,2004,1,22,24.6,2004-01-22,-13.9,,"23,6"
Lahti Laune,2004,1,23,24.1,2004-01-23,-15.5,,"17,8"
Lahti Laune,2004,1,24,24.9,2004-01-24,-2.3,,"8,7"
Lahti Laune,2004,1,25,24.9,2004-01-25,-7.7,,"18,5"
Lahti Laune,2004,1,26,24.8,2004-01-26,-7.8,,"10,6"
Lahti Laune,2004,1,27,24.6,2004-01-27,-6.0,,"5,5"
Lahti Laune,2004,1,28,26.8,2004-01-28,-5.9,,"11,5"
Lahti Laune,2004,1,29,28.2,2004-01-29,-4.8,,"16,3"
Lahti Laune,2004,1,30,29.0,2004-01-30,-5.3,,17
Lahti Laune,2004,1,31,31.1,2004-01-31,-5.1,,"7,1"
Lahti Laune,2004,2,1,42.6,2004-02-01,-1.5,,"12,4"
Lahti Laune,2004,2,2,44.7,2004-02-02,-5.4,,"21,3"
Lahti Laune,2004,2,3,43.7,2004-02-03,-3.4,,"20,7"
Lahti Laune,2004,2,4,41.4,2004-02-04,1.1,,"8,1"
Lahti Laune,2004,2,5,35.3,2004-02-05,-0.1,,"16,7"
Lahti Laune,2004,2,6,34.0,2004-02-06,-6.5,,"21,2"
Lahti Laune,2004,2,7,34.9,2004-02-07,-5.8,,"14,7"
Lahti Laune,2004,2,8,34.7,2004-02-08,-11.9,,"34,8"
Lahti Laune,2004,2,9,36.1,2004-02-09,-10.1,,"38,3"
Lahti Laune,2004,2,10,37.0,2004-02-10,-14.2,,"52,6"
Lahti Laune,2004,2,11,35.9,2004-02-11,-14.9,,"57,5"
Lahti Laune,2004,2,12,35.7,2004-02-12,-16.0,,"43,6"
Lahti Laune,2004,2,13,37.5,2004-02-13,-4.7,,"22,1"
Lahti Laune,2004,2,14,37.6,2004-02-14,0.8,,"28,6"
Lahti Laune,2004,2,15,37.0,2004-02-15,-0.8,,"34,3"
Lahti Laune,2004,2,16,37.0,2004-02-16,-4.1,,"61,8"
Lahti Laune,2004,2,17,41.8,2004-02-17,-6.1,,21
Lahti Laune,2004,2,18,43.6,2004-02-18,-12.0,,"69,4"
Lahti Laune,2004,2,19,43.0,2004-02-19,-14.4,,"60,5"
Lahti Laune,2004,2,20,42.9,2004-02-20,-0.6,,"47,2"
Lahti Laune,2004,2,21,41.9,2004-02-21,-0.2,,"48,8"
Lahti Laune,2004,2,22,42.0,2004-02-22,-3.0,,"35,9"
Lahti Laune,2004,2,23,42.2,2004-02-23,-6.5,,"39,7"
Lahti Laune,2004,2,24,42.4,2004-02-24,-7.3,,"78,2"
Lahti Laune,2004,2,25,43.2,2004-02-25,-4.1,,"26,7"
Lahti Laune,2004,2,26,45.1,2004-02-26,-1.4,,"29,4"
Lahti Laune,2004,2,27,47.4,2004-02-27,-2.1,,"32,8"
Lahti Laune,2004,2,28,46.9,2004-02-28,-5.8,,"76,3"
Lahti Laune,2004,2,29,46.3,2004-02-29,-6.9,,"45,5"
Lahti Laune,2004,3,1,46.0,2004-03-01,-2.8,,"44,8"
Lahti Laune,2004,3,2,50.0,2004-03-02,-2.2,,"44,2"
Lahti Laune,2004,3,3,54.5,2004-03-03,-6.6,,"86,9"
Lahti Laune,2004,3,4,52.9,2004-03-04,-7.7,,"111,9"
Lahti Laune,2004,3,5,51.5,2004-03-05,-11.0,,93
Lahti Laune,2004,3,6,51.0,2004-03-06,-8.5,,99
Lahti Laune,2004,3,7,51.0,2004-03-07,-6.0,,"87,5"
Lahti Laune,2004,3,8,50.1,2004-03-08,-0.6,,"40,4"
Lahti Laune,2004,3,9,48.8,2004-03-09,-5.6,,"120,2"
Lahti Laune,2004,3,10,48.9,2004-03-10,-6.9,,"117,7"
Lahti Laune,2004,3,11,48.7,2004-03-11,-3.3,,"124,6"
Lahti Laune,2004,3,12,48.6,2004-03-12,-2.9,,"126,9"
Lahti Laune,2004,3,13,48.0,2004-03-13,-4.2,,"126,3"
Lahti Laune,2004,3,14,48.0,2004-03-14,-4.2,,"40,8"
Lahti Laune,2004,3,15,48.0,2004-03-15,0.5,,"33,1"
Lahti Laune,2004,3,16,44.9,2004-03-16,2.3,,"36,8"
Lahti Laune,2004,3,17,41.3,2004-03-17,0.8,,"127,2"
Lahti Laune,2004,3,18,39.8,2004-03-18,1.5,,"43,6"
Lahti Laune,2004,3,19,37.2,2004-03-19,1.4,,"141,1"
Lahti Laune,2004,3,20,36.0,2004-03-20,0.6,,"23,5"
Lahti Laune,2004,3,21,35.8,2004-03-21,1.0,,"34,2"
Lahti Laune,2004,3,22,35.6,2004-03-22,0.6,,
Lahti Laune,2004,3,23,36.5,2004-03-23,-0.5,,
Lahti Laune,2004,3,24,35.9,2004-03-24,0.9,,
Lahti Laune,2004,3,25,34.9,2004-03-25,0.1,,
Lahti Laune,2004,3,26,37.4,2004-03-26,-1.6,,"84,1"
Lahti Laune,2004,3,27,36.5,2004-03-27,-1.6,,120
Lahti Laune,2004,3,28,35.2,2004-03-28,2.1,,"170,6"
Lahti Laune,2004,3,29,33.5,2004-03-29,1.7,,"159,4"
Lahti Laune,2004,3,30,31.4,2004-03-30,3.8,,"166,9"
Lahti Laune,2004,3,31,28.8,2004-03-31,2.5,,"190,8"
Lahti Laune,2004,4,1,27.1,2004-04-01,-3.5,,"203,6"
Lahti Laune,2004,4,2,26.9,2004-04-02,-3.7,,198
Lahti Laune,2004,4,3,26.6,2004-04-03,-0.5,,202
Lahti Laune,2004,4,4,25.5,2004-04-04,0.0,,"201,6"
Lahti Laune,2004,4,5,23.6,2004-04-05,1.6,,188
Lahti Laune,2004,4,6,20.8,2004-04-06,1.9,,"159,4"
Lahti Laune,2004,4,7,19.2,2004-04-07,3.6,,"197,1"
Lahti Laune,2004,4,8,16.7,2004-04-08,3.6,,212
Lahti Laune,2004,4,9,13.8,2004-04-09,3.0,,"210,6"
Lahti Laune,2004,4,10,11.9,2004-04-10,1.8,,"103,2"
Lahti Laune,2004,4,11,9.9,2004-04-11,1.5,,"172,7"
Lahti Laune,2004,4,12,6.7,2004-04-12,2.7,,"195,7"
Lahti Laune,2004,4,13,2.4,2004-04-13,2.4,,"228,9"
Lahti Laune,2004,4,14,,2004-04-14,2.6,,"93,2"
,2004,4,15,,2004-04-15,7.0,,"222,2"
,2004,4,16,,2004-04-16,4.2,,"103,4"
,2004,4,17,,2004-04-17,6.4,,225
,2004,4,18,,2004-04-18,7.2,,"213,5"
,2004,4,19,,2004-04-19,7.8,,"219,1"
,2004,4,20,,2004-04-20,9.0,,"76,6"
,2004,4,21,,2004-04-21,8.2,,"139,3"
,2004,4,22,,2004-04-22,4.7,,221
,2004,4,23,,2004-04-23,2.4,,"256,9"
,2004,4,24,,2004-04-24,4.1,,"243,3"
,2004,4,25,,2004-04-25,4.7,,"257,2"
,2004,4,26,,2004-04-26,4.7,,"260,1"
,2004,4,27,,2004-04-27,5.5,,"205,8"
,2004,4,28,,2004-04-28,4.6,,"152,4"
,2004,4,29,,2004-04-29,7.3,,"118,8"
,2004,4,30,,2004-04-30,8.6,,"271,2"
,2004,5,1,,2004-05-01,9.4,,"190,8"
,2004,5,2,,2004-05-02,9.1,,"262,8"
,2004,5,3,,2004-05-03,12.2,,"244,7"
,2004,5,4,,2004-05-04,14.1,,"97,3"
,2004,5,5,,2004-05-05,17.6,,"245,3"
,2004,5,6,,2004-05-06,18.1,,259
,2004,5,7,,2004-05-07,16.4,,"260,4"
,2004,5,8,,2004-05-08,16.7,,234
,2004,5,9,,2004-05-09,16.3,,"280,8"
,2004,5,10,,2004-05-10,10.9,,"148,8"
,2004,5,11,,2004-05-11,4.1,,"220,1"
,2004,5,12,,2004-05-12,3.0,,"274,6"
,2004,5,13,,2004-05-13,3.3,,"233,9"
,2004,5,14,,2004-05-14,5.1,,"161,5"
,2004,5,15,,2004-05-15,5.8,,"238,5"
,2004,5,16,,2004-05-16,5.8,,219
,2004,5,17,,2004-05-17,7.0,,"272,8"
,2004,5,18,,2004-05-18,7.5,,"59,6"
,2004,5,19,,2004-05-19,7.6,,"146,6"
,2004,5,20,,2004-05-20,8.2,,"273,2"
,2004,5,21,,2004-05-21,6.7,,"214,9"
,2004,5,22,,2004-05-22,7.0,,"210,7"
,2004,5,23,,2004-05-23,6.9,,"239,3"
,2004,5,24,,2004-05-24,6.0,,"248,8"
,2004,5,25,,2004-05-25,8.9,,"307,5"
,2004,5,26,,2004-05-26,10.6,,"282,4"
,2004,5,27,,2004-05-27,11.3,,"204,8"
,2004,5,28,,2004-05-28,11.1,,"210,6"
,2004,5,29,,2004-05-29,9.5,,"123,4"
,2004,5,30,,2004-05-30,6.2,,"237,3"
,2004,5,31,,2004-05-31,7.6,,"152,5"
,2004,6,1,,2004-06-01,10.4,,"266,5"
,2004,6,2,,2004-06-02,12.5,,"250,7"
,2004,6,3,,2004-06-03,12.7,,"319,3"
,2004,6,4,,2004-06-04,15.1,,"258,6"
,2004,6,5,,2004-06-05,15.7,,"338,8"
,2004,6,6,,2004-06-06,13.9,,"158,7"
,2004,6,7,,2004-06-07,8.2,,"164,3"
,2004,6,8,,2004-06-08,9.7,,"156,3"
,2004,6,9,,2004-06-09,11.3,,"322,1"
,2004,6,10,,2004-06-10,11.5,,"285,5"
,2004,6,11,,2004-06-11,10.0,,"66,9"
,2004,6,12,,2004-06-12,12.2,,"76,7"
,2004,6,13,,2004-06-13,15.2,,"293,3"
,2004,6,14,,2004-06-14,12.3,,"153,7"
,2004,6,15,,2004-06-15,11.5,,"316,8"
,2004,6,16,,2004-06-16,10.1,,"152,4"
,2004,6,17,,2004-06-17,11.6,,"256,8"
,2004,6,18,,2004-06-18,11.2,,146
,2004,6,19,,2004-06-19,13.0,,"249,7"
,2004,6,20,,2004-06-20,13.4,,"251,6"
,2004,6,21,,2004-06-21,11.8,,"157,2"
,2004,6,22,,2004-06-22,14.5,,"194,4"
,2004,6,23,,2004-06-23,12.0,,"197,9"
,2004,6,24,,2004-06-24,11.6,,"76,8"
,2004,6,25,,2004-06-25,17.2,,"287,1"
,2004,6,26,,2004-06-26,14.3,,"184,5"
,2004,6,27,,2004-06-27,13.9,,"69,8"
,2004,6,28,,2004-06-28,14.3,,"85,8"
,2004,6,29,,2004-06-29,15.7,,"212,7"
,2004,6,30,,2004-06-30,14.0,,"43,5"
,2004,7,1,,2004-07-01,15.3,,"157,8"
,2004,7,2,,2004-07-02,17.3,,310
,2004,7,3,,2004-07-03,14.3,,"34,3"
,2004,7,4,,2004-07-04,15.8,,"274,6"
,2004,7,5,,2004-07-05,13.6,,"214,8"
,2004,7,6,,2004-07-06,13.1,,"203,1"
,2004,7,7,,2004-07-07,13.7,,"213,1"
,2004,7,8,,2004-07-08,14.7,,"250,2"
,2004,7,9,,2004-07-09,15.1,,217
,2004,7,10,,2004-07-10,14.7,,"103,3"
,2004,7,11,,2004-07-11,16.0,,"205,8"
,2004,7,12,,2004-07-12,15.6,,"235,2"
,2004,7,13,,2004-07-13,17.2,,"226,6"
,2004,7,14,,2004-07-14,15.6,,"202,1"
,2004,7,15,,2004-07-15,15.6,,251
,2004,7,16,,2004-07-16,16.1,,"310,3"
,2004,7,17,,2004-07-17,14.8,,"196,3"
,2004,7,18,,2004-07-18,16.7,,"304,8"
,2004,7,19,,2004-07-19,17.6,,"268,7"
,2004,7,20,,2004-07-20,18.2,,"223,2"
,2004,7,21,,2004-07-21,17.3,,"237,5"
,2004,7,22,,2004-07-22,19.5,,"196,8"
,2004,7,23,,2004-07-23,19.6,,"205,3"
,2004,7,24,,2004-07-24,19.4,,"219,5"
,2004,7,25,,2004-07-25,18.0,,"157,9"
,2004,7,26,,2004-07-26,17.9,,"215,2"
,2004,7,27,,2004-07-27,18.1,,"185,9"
,2004,7,28,,2004-07-28,16.4,,"54,7"
,2004,7,29,,2004-07-29,16.1,,"49,4"
,2004,7,30,,2004-07-30,17.2,,"100,5"
,2004,7,31,,2004-07-31,17.9,,"86,6"
,2004,8,1,,2004-08-01,18.7,,"232,7"
,2004,8,2,,2004-08-02,20.0,,"219,4"
,2004,8,3,,2004-08-03,21.3,,"209,8"
,2004,8,4,,2004-08-04,20.6,,"260,7"
,2004,8,5,,2004-08-05,20.4,,"262,4"
,2004,8,6,,2004-08-06,20.8,,"195,1"
,2004,8,7,,2004-08-07,21.0,,"250,9"
,2004,8,8,,2004-08-08,21.0,,"235,2"
,2004,8,9,,2004-08-09,17.9,,173
,2004,8,10,,2004-08-10,17.6,,239
,2004,8,11,,2004-08-11,17.1,,"142,5"
,2004,8,12,,2004-08-12,14.1,,"218,4"
,2004,8,13,,2004-08-13,12.3,,"221,8"
,2004,8,14,,2004-08-14,10.2,,"177,9"
,2004,8,15,,2004-08-15,10.1,,"133,9"
,2004,8,16,,2004-08-16,13.5,,"208,6"
,2004,8,17,,2004-08-17,14.2,,"47,7"
,2004,8,18,,2004-08-18,14.2,,"104,4"
,2004,8,19,,2004-08-19,13.9,,150
,2004,8,20,,2004-08-20,18.8,,"180,9"
,2004,8,21,,2004-08-21,16.6,,"113,5"
,2004,8,22,,2004-08-22,15.6,,"156,8"
,2004,8,23,,2004-08-23,11.7,,"185,1"
,2004,8,24,,2004-08-24,10.6,,"196,1"
,2004,8,25,,2004-08-25,10.2,,"205,1"
,2004,8,26,,2004-08-26,12.1,,"28,8"
,2004,8,27,,2004-08-27,13.5,,"146,4"
,2004,8,28,,2004-08-28,15.2,,"98,7"
,2004,8,29,,2004-08-29,14.9,,"182,3"
,2004,8,30,,2004-08-30,12.7,,"64,8"
,2004,8,31,,2004-08-31,16.4,,"105,9"
,2004,9,1,,2004-09-01,15.1,,"54,4"
,2004,9,2,,2004-09-02,13.4,,"65,6"
,2004,9,3,,2004-09-03,18.7,,"98,5"
,2004,9,4,,2004-09-04,15.3,,"177,4"
,2004,9,5,,2004-09-05,14.5,,"143,1"
,2004,9,6,,2004-09-06,14.7,,"96,7"
,2004,9,7,,2004-09-07,10.4,,"111,5"
,2004,9,8,,2004-09-08,8.7,,"167,9"
,2004,9,9,,2004-09-09,7.8,,"137,3"
,2004,9,10,,2004-09-10,13.3,,"137,7"
,2004,9,11,,2004-09-11,12.2,,168
,2004,9,12,,2004-09-12,13.4,,"67,1"
,2004,9,13,,2004-09-13,13.6,,"114,8"
,2004,9,14,,2004-09-14,13.7,,"74,8"
,2004,9,15,,2004-09-15,13.1,,"82,9"
,2004,9,16,,2004-09-16,9.4,,83
,2004,9,17,,2004-09-17,7.8,,"71,9"
,2004,9,18,,2004-09-18,12.0,,"17,6"
,2004,9,19,,2004-09-19,12.3,,70
,2004,9,20,,2004-09-20,12.2,,"139,4"
,2004,9,21,,2004-09-21,11.4,,"23,8"
,2004,9,22,,2004-09-22,10.4,,"55,3"
,2004,9,23,,2004-09-23,9.6,,"71,5"
,2004,9,24,,2004-09-24,8.9,,"72,7"
,2004,9,25,,2004-09-25,9.8,,"75,2"
,2004,9,26,,2004-09-26,11.0,,"119,7"
,2004,9,27,,2004-09-27,10.8,,"27,5"
,2004,9,28,,2004-09-28,10.7,,"50,6"
,2004,9,29,,2004-09-29,9.5,,"74,8"
,2004,9,30,,2004-09-30,7.2,,"79,1"
,2004,10,1,,2004-10-01,4.7,,122
,2004,10,2,,2004-10-02,5.2,,81
,2004,10,3,,2004-10-03,6.6,,"21,9"
,2004,10,4,,2004-10-04,6.6,,"100,8"
,2004,10,5,,2004-10-05,9.6,,29
,2004,10,6,,2004-10-06,10.7,,"21,8"
,2004,10,7,,2004-10-07,9.1,,"65,4"
,2004,10,8,,2004-10-08,8.0,,"39,4"
,2004,10,9,,2004-10-09,2.7,,"97,8"
,2004,10,10,,2004-10-10,1.0,,"94,7"
,2004,10,11,,2004-10-11,0.0,,"67,2"
,2004,10,12,,2004-10-12,0.0,,"90,5"
,2004,10,13,,2004-10-13,0.1,,"55,8"
,2004,10,14,,2004-10-14,0.8,,"83,8"
,2004,10,15,,2004-10-15,1.1,,"77,5"
,2004,10,16,,2004-10-16,5.0,,"54,2"
,2004,10,17,,2004-10-17,5.8,,"12,8"
,2004,10,18,,2004-10-18,6.7,,"8,3"
,2004,10,19,,2004-10-19,4.2,,"8,7"
,2004,10,20,,2004-10-20,3.5,,"44,8"
,2004,10,21,,2004-10-21,2.9,,"7,7"
,2004,10,22,,2004-10-22,7.0,,"31,3"
,2004,10,23,,2004-10-23,7.1,,"18,3"
,2004,10,24,,2004-10-24,5.8,,"24,6"
,2004,10,25,,2004-10-25,4.2,,54
,2004,10,26,,2004-10-26,8.4,,"8,5"
,2004,10,27,,2004-10-27,6.0,,"21,8"
,2004,10,28,,2004-10-28,1.8,,"56,8"
,2004,10,29,,2004-10-29,-0.8,,"45,3"
,2004,10,30,,2004-10-30,0.5,,"32,1"
,2004,10,31,,2004-10-31,-0.5,,"7,5"
,2004,11,1,,2004-11-01,3.2,,"48,7"
,2004,11,2,,2004-11-02,1.5,,"47,6"
,2004,11,3,,2004-11-03,3.3,,"38,1"
,2004,11,4,,2004-11-04,5.3,,"5,4"
,2004,11,5,,2004-11-05,5.9,,"13,8"
,2004,11,6,,2004-11-06,3.5,,"17,7"
,2004,11,7,,2004-11-07,3.6,,"10,3"
,2004,11,8,,2004-11-08,3.8,,21
,2004,11,9,,2004-11-09,4.8,,"13,2"
,2004,11,10,,2004-11-10,1.3,,"4,1"
,2004,11,11,,2004-11-11,4.0,,"3,6"
,2004,11,12,,2004-11-12,7.1,,2
,2004,11,13,,2004-11-13,2.3,,"23,6"
,2004,11,14,,2004-11-14,-0.3,,"27,9"
,2004,11,15,,2004-11-15,2.8,,"1,9"
,2004,11,16,,2004-11-16,-0.5,,"17,4"
,2004,11,17,,2004-11-17,-4.3,,"12,3"
Lahti Laune,2004,11,18,0.0,2004-11-18,-5.5,,"12,8"
Lahti Laune,2004,11,19,0.0,2004-11-19,-9.2,,20
Lahti Laune,2004,11,20,0.0,2004-11-20,-8.1,,"9,3"
Lahti Laune,2004,11,21,0.0,2004-11-21,-6.3,,"23,8"
Lahti Laune,2004,11,22,0.0,2004-11-22,-9.3,,"10,3"
Lahti Laune,2004,11,23,0.0,2004-11-23,-5.8,,"7,9"
Lahti Laune,2004,11,24,0.0,2004-11-24,-8.2,,"22,9"
Lahti Laune,2004,11,25,1.3,2004-11-25,-2.8,,"11,8"
Lahti Laune,2004,11,26,2.0,2004-11-26,-4.8,,"13,4"
Lahti Laune,2004,11,27,2.0,2004-11-27,-6.5,,"20,9"
Lahti Laune,2004,11,28,2.0,2004-11-28,-8.9,,"10,6"
Lahti Laune,2004,11,29,7.1,2004-11-29,-5.1,,"5,4"
Lahti Laune,2004,11,30,10.9,2004-11-30,-3.4,,6
Lahti Laune,2004,12,1,10.5,2004-12-01,1.2,,"3,1"
Lahti Laune,2004,12,2,6.9,2004-12-02,0.3,,"1,8"
Lahti Laune,2004,12,3,6.3,2004-12-03,-7.5,,"15,1"
Lahti Laune,2004,12,4,8.8,2004-12-04,-10.6,,"2,2"
Lahti Laune,2004,12,5,11.8,2004-12-05,1.2,,"2,8"
Lahti Laune,2004,12,6,7.3,2004-12-06,0.7,,"4,1"
Lahti Laune,2004,12,7,6.3,2004-12-07,0.8,,"3,5"
Lahti Laune,2004,12,8,5.0,2004-12-08,0.8,,"3,6"
Lahti Laune,2004,12,9,5.0,2004-12-09,-1.1,,"8,6"
Lahti Laune,2004,12,10,5.0,2004-12-10,-1.4,,9
Lahti Laune,2004,12,11,4.6,2004-12-11,1.0,,"2,4"
Lahti Laune,2004,12,12,4.0,2004-12-12,-0.3,,"10,5"
Lahti Laune,2004,12,13,4.0,2004-12-13,-7.3,,"7,5"
Lahti Laune,2004,12,14,3.8,2004-12-14,0.8,,"1,6"
Lahti Laune,2004,12,15,0.8,2004-12-15,3.6,,"1,8"
Lahti Laune,2004,12,16,,2004-12-16,2.2,,"4,8"
,2004,12,17,,2004-12-17,2.7,,"0,5"
Lahti Laune,2004,12,18,0.0,2004-12-18,2.1,,"2,4"
Lahti Laune,2004,12,19,1.3,2004-12-19,0.5,,"1,7"
Lahti Laune,2004,12,20,6.7,2004-12-20,-3.6,,"5,6"
Lahti Laune,2004,12,21,5.5,2004-12-21,-8.2,,"8,5"
Lahti Laune,2004,12,22,5.8,2004-12-22,-4.0,,"0,3"
Lahti Laune,2004,12,23,12.0,2004-12-23,-2.6,,8
Lahti Laune,2004,12,24,17.5,2004-12-24,-5.7,,"9,3"
Lahti Laune,2004,12,25,17.5,2004-12-25,-10.7,,"2,7"
Lahti Laune,2004,12,26,18.5,2004-12-26,-2.5,,"3,6"
Lahti Laune,2004,12,27,17.8,2004-12-27,-5.3,,"11,2"
Lahti Laune,2004,12,28,17.2,2004-12-28,-4.1,,"3,3"
Lahti Laune,2004,12,29,15.9,2004-12-29,-1.0,,"1,5"
Lahti Laune,2004,12,30,15.7,2004-12-30,0.0,,"1,3"
Lahti Laune,2004,12,31,13.0,2004-12-31,0.2,,"12,9"
Lahti Laune,2005,1,1,13.0,2005-01-01,-1.0,,"10,6"
Lahti Laune,2005,1,2,13.3,2005-01-02,0.2,,"2,9"
Lahti Laune,2005,1,3,15.9,2005-01-03,-1.4,,"10,9"
Lahti Laune,2005,1,4,16.4,2005-01-04,-1.8,,"11,4"
Lahti Laune,2005,1,5,20.5,2005-01-05,-1.5,,"4,7"
Lahti Laune,2005,1,6,24.4,2005-01-06,-1.3,,"4,5"
Lahti Laune,2005,1,7,23.7,2005-01-07,1.9,,"2,8"
Lahti Laune,2005,1,8,19.5,2005-01-08,2.5,,"3,3"
Lahti Laune,2005,1,9,16.1,2005-01-09,1.2,,"5,6"
Lahti Laune,2005,1,10,19.0,2005-01-10,-0.6,,"5,1"
Lahti Laune,2005,1,11,13.3,2005-01-11,3.5,,"16,8"
Lahti Laune,2005,1,12,12.9,2005-01-12,0.3,,"0,9"
Lahti Laune,2005,1,13,12.0,2005-01-13,2.7,,2
Lahti Laune,2005,1,14,10.8,2005-01-14,-0.8,,6
Lahti Laune,2005,1,15,11.0,2005-01-15,-6.0,,"10,8"
Lahti Laune,2005,1,16,12.9,2005-01-16,-1.5,,"3,7"
Lahti Laune,2005,1,17,11.0,2005-01-17,2.3,,5
Lahti Laune,2005,1,18,9.8,2005-01-18,0.8,,"1,4"
Lahti Laune,2005,1,19,9.2,2005-01-19,-0.6,,"4,9"
Lahti Laune,2005,1,20,10.5,2005-01-20,-1.0,,"7,4"
Lahti Laune,2005,1,21,17.6,2005-01-21,-0.7,,"7,4"
Lahti Laune,2005,1,22,20.4,2005-01-22,-1.0,,"5,9"
Lahti Laune,2005,1,23,20.5,2005-01-23,-2.8,,"6,6"
Lahti Laune,2005,1,24,20.8,2005-01-24,-5.8,,"14,9"
Lahti Laune,2005,1,25,20.2,2005-01-25,-4.8,,11
Lahti Laune,2005,1,26,18.7,2005-01-26,-5.6,,"10,2"
Lahti Laune,2005,1,27,20.0,2005-01-27,-6.1,,"18,9"
Lahti Laune,2005,1,28,20.7,2005-01-28,-13.8,,"13,4"
Lahti Laune,2005,1,29,21.4,2005-01-29,-10.5,,"20,8"
Lahti Laune,2005,1,30,22.7,2005-01-30,-7.5,,"7,8"
Lahti Laune,2005,1,31,28.4,2005-01-31,-2.2,,"30,8"
Lahti Laune,2005,2,1,30.5,2005-02-01,-4.1,,"12,1"
Lahti Laune,2005,2,2,28.2,2005-02-02,-7.1,,"17,2"
Lahti Laune,2005,2,3,28.6,2005-02-03,-5.3,,"7,7"
Lahti Laune,2005,2,4,28.5,2005-02-04,-2.5,,"13,4"
Lahti Laune,2005,2,5,27.8,2005-02-05,-0.4,,"6,3"
Lahti Laune,2005,2,6,25.6,2005-02-06,1.4,,"5,6"
Lahti Laune,2005,2,7,23.2,2005-02-07,-0.3,,"25,4"
Lahti Laune,2005,2,8,22.7,2005-02-08,-2.0,,"31,2"
Lahti Laune,2005,2,9,22.9,2005-02-09,-6.9,,"51,7"
Lahti Laune,2005,2,10,23.7,2005-02-10,-5.4,,"19,9"
Lahti Laune,2005,2,11,27.6,2005-02-11,-0.2,,"33,2"
Lahti Laune,2005,2,12,27.0,2005-02-12,-4.0,,"31,3"
Lahti Laune,2005,2,13,27.0,2005-02-13,-3.1,,"16,7"
Lahti Laune,2005,2,14,27.8,2005-02-14,-7.2,,"32,8"
Lahti Laune,2005,2,15,29.0,2005-02-15,-9.1,,"47,4"
Lahti Laune,2005,2,16,28.8,2005-02-16,-11.8,,"43,9"
Lahti Laune,2005,2,17,28.1,2005-02-17,-7.0,,"30,2"
Lahti Laune,2005,2,18,27.0,2005-02-18,-5.1,,"18,5"
Lahti Laune,2005,2,19,27.4,2005-02-19,-2.7,,"19,3"
Lahti Laune,2005,2,20,27.8,2005-02-20,-4.4,,40
Lahti Laune,2005,2,21,27.5,2005-02-21,-7.7,,"49,7"
Lahti Laune,2005,2,22,28.3,2005-02-22,-13.5,,"67,6"
Lahti Laune,2005,2,23,28.3,2005-02-23,-13.5,,"78,4"
Lahti Laune,2005,2,24,28.4,2005-02-24,-14.4,,67
Lahti Laune,2005,2,25,28.6,2005-02-25,-9.4,,"56,5"
Lahti Laune,2005,2,26,27.1,2005-02-26,-10.8,,"77,4"
Lahti Laune,2005,2,27,27.0,2005-02-27,-10.8,,"94,9"
Lahti Laune,2005,2,28,28.5,2005-02-28,-14.0,,"83,9"
Lahti Laune,2005,3,1,28.8,2005-03-01,-14.2,,"104,5"
Lahti Laune,2005,3,2,28.4,2005-03-02,-13.6,,"75,8"
Lahti Laune,2005,3,3,28.9,2005-03-03,-13.1,,"86,7"
Lahti Laune,2005,3,4,28.8,2005-03-04,-13.3,,"68,2"
Lahti Laune,2005,3,5,28.7,2005-03-05,-7.6,,"96,6"
Lahti Laune,2005,3,6,29.2,2005-03-06,-11.0,,"75,2"
Lahti Laune,2005,3,7,29.5,2005-03-07,-6.3,,"96,3"
Lahti Laune,2005,3,8,29.6,2005-03-08,-5.5,,"78,7"
Lahti Laune,2005,3,9,30.0,2005-03-09,-10.5,,"127,1"
Lahti Laune,2005,3,10,29.8,2005-03-10,-12.1,,"128,2"
Lahti Laune,2005,3,11,30.0,2005-03-11,-13.7,,"137,9"
