Observation station,Year,Month,Day,Time [Local time],Snow depth mean [cm]
Sodankylä Tähtelä,2013,1,1,00:00,55.6
Sodankylä Tähtelä,2013,1,2,00:00,56.6
Sodankylä Tähtelä,2013,1,3,00:00,55.2
Sodankylä Tähtelä,2013,1,4,00:00,53.7
Sodankylä Tähtelä,2013,1,5,00:00,53.1
Sodankylä Tähtelä,2013,1,6,00:00,52.4
Sodankylä Tähtelä,2013,1,7,00:00,53.2
Sodankylä Tähtelä,2013,1,8,00:00,53.2
Sodankylä Tähtelä,2013,1,9,00:00,57.8
Sodankylä Tähtelä,2013,1,10,00:00,57
Sodankylä Tähtelä,2013,1,11,00:00,56.1
Sodankylä Tähtelä,2013,1,12,00:00,55.3
Sodankylä Tähtelä,2013,1,13,00:00,54.9
Sodankylä Tähtelä,2013,1,14,00:00,54.2
Sodankylä Tähtelä,2013,1,15,00:00,54
Sodankylä Tähtelä,2013,1,16,00:00,54
Sodankylä Tähtelä,2013,1,17,00:00,54
Sodankylä Tähtelä,2013,1,18,00:00,53.7
Sodankylä Tähtelä,2013,1,19,00:00,53.3
Sodankylä Tähtelä,2013,1,20,00:00,53.5
Sodankylä Tähtelä,2013,1,21,00:00,55.9
Sodankylä Tähtelä,2013,1,22,00:00,56
Sodankylä Tähtelä,2013,1,23,00:00,55.3
Sodankylä Tähtelä,2013,1,24,00:00,56
Sodankylä Tähtelä,2013,1,25,00:00,55.7
Sodankylä Tähtelä,2013,1,26,00:00,55.9
Sodankylä Tähtelä,2013,1,27,00:00,59.7
Sodankylä Tähtelä,2013,1,28,00:00,62
Sodankylä Tähtelä,2013,1,29,00:00,67.1
Sodankylä Tähtelä,2013,1,30,00:00,67.9
Sodankylä Tähtelä,2013,1,31,00:00,72.3
Sodankylä Tähtelä,2013,2,1,00:00,74.7
Sodankylä Tähtelä,2013,2,2,00:00,75.9
Sodankylä Tähtelä,2013,2,3,00:00,79.4
Sodankylä Tähtelä,2013,2,4,00:00,82.1
Sodankylä Tähtelä,2013,2,5,00:00,80.6
Sodankylä Tähtelä,2013,2,6,00:00,78.5
Sodankylä Tähtelä,2013,2,7,00:00,77.3
Sodankylä Tähtelä,2013,2,8,00:00,76.9
Sodankylä Tähtelä,2013,2,9,00:00,77
Sodankylä Tähtelä,2013,2,10,00:00,76.1
Sodankylä Tähtelä,2013,2,11,00:00,75
Sodankylä Tähtelä,2013,2,12,00:00,75
Sodankylä Tähtelä,2013,2,13,00:00,74.1
Sodankylä Tähtelä,2013,2,14,00:00,74.4
Sodankylä Tähtelä,2013,2,15,00:00,73.6
Sodankylä Tähtelä,2013,2,16,00:00,73.8
Sodankylä Tähtelä,2013,2,17,00:00,74.2
Sodankylä Tähtelä,2013,2,18,00:00,73.3
Sodankylä Tähtelä,2013,2,19,00:00,72.9
Sodankylä Tähtelä,2013,2,20,00:00,72.9
Sodankylä Tähtelä,2013,2,21,00:00,73.6
Sodankylä Tähtelä,2013,2,22,00:00,74.3
Sodankylä Tähtelä,2013,2,23,00:00,73.6
Sodankylä Tähtelä,2013,2,24,00:00,72.8
Sodankylä Tähtelä,2013,2,25,00:00,72
Sodankylä Tähtelä,2013,2,26,00:00,72.3
Sodankylä Tähtelä,2013,2,27,00:00,75.8
Sodankylä Tähtelä,2013,2,28,00:00,78
Sodankylä Tähtelä,2013,3,1,00:00,77.2
Sodankylä Tähtelä,2013,3,2,00:00,77
Sodankylä Tähtelä,2013,3,3,00:00,76.4
Sodankylä Tähtelä,2013,3,4,00:00,75.8
Sodankylä Tähtelä,2013,3,5,00:00,76.9
Sodankylä Tähtelä,2013,3,6,00:00,80.2
Sodankylä Tähtelä,2013,3,7,00:00,79.9
Sodankylä Tähtelä,2013,3,8,00:00,79.4
Sodankylä Tähtelä,2013,3,9,00:00,78.9
Sodankylä Tähtelä,2013,3,10,00:00,78.4
Sodankylä Tähtelä,2013,3,11,00:00,77.9
Sodankylä Tähtelä,2013,3,12,00:00,77.6
Sodankylä Tähtelä,2013,3,13,00:00,77.4
