Observation station;Year;Month;Day;Time [Local time];Global radiation mean [W/m2]
Vantaa Helsinki-Vantaa airport;2009;11;27;00:00;6
Vantaa Helsinki-Vantaa airport;2009;11;28;00:00;5,7
Vantaa Helsinki-Vantaa airport;2009;11;29;00:00;6,5
Vantaa Helsinki-Vantaa airport;2009;11;30;00:00;2,4
Vantaa Helsinki-Vantaa airport;2009;12;1;00:00;1,1
Vantaa Helsinki-Vantaa airport;2009;12;2;00:00;6,7
Vantaa Helsinki-Vantaa airport;2009;12;3;00:00;11
Vantaa Helsinki-Vantaa airport;2009;12;4;00:00;3,4
Vantaa Helsinki-Vantaa airport;2009;12;5;00:00;0,7
Vantaa Helsinki-Vantaa airport;2009;12;6;00:00;1,2
Vantaa Helsinki-Vantaa airport;2009;12;7;00:00;2,2
Vantaa Helsinki-Vantaa airport;2009;12;8;00:00;3,3
Vantaa Helsinki-Vantaa airport;2009;12;9;00:00;1,9
Vantaa Helsinki-Vantaa airport;2009;12;10;00:00;2,2
Vantaa Helsinki-Vantaa airport;2009;12;11;00:00;4,7
Vantaa Helsinki-Vantaa airport;2009;12;12;00:00;5,1
Vantaa Helsinki-Vantaa airport;2009;12;13;00:00;5,7
Vantaa Helsinki-Vantaa airport;2009;12;14;00:00;11,5
Vantaa Helsinki-Vantaa airport;2009;12;15;00:00;10,9
Vantaa Helsinki-Vantaa airport;2009;12;16;00:00;17,3
Vantaa Helsinki-Vantaa airport;2009;12;17;00:00;4,8
Vantaa Helsinki-Vantaa airport;2009;12;18;00:00;19,1
Vantaa Helsinki-Vantaa airport;2009;12;19;00:00;7,6
Vantaa Helsinki-Vantaa airport;2009;12;20;00:00;2,7
Vantaa Helsinki-Vantaa airport;2009;12;21;00:00;5,1
Vantaa Helsinki-Vantaa airport;2009;12;22;00:00;11,1
Vantaa Helsinki-Vantaa airport;2009;12;23;00:00;1,7
Vantaa Helsinki-Vantaa airport;2009;12;24;00:00;4,4
Vantaa Helsinki-Vantaa airport;2009;12;25;00:00;5
Vantaa Helsinki-Vantaa airport;2009;12;26;00:00;5,1
Vantaa Helsinki-Vantaa airport;2009;12;27;00:00;7,4
Vantaa Helsinki-Vantaa airport;2009;12;28;00:00;3
Vantaa Helsinki-Vantaa airport;2009;12;29;00:00;4,9
Vantaa Helsinki-Vantaa airport;2009;12;30;00:00;2,8
Vantaa Helsinki-Vantaa airport;2009;12;31;00:00;12
Vantaa Helsinki-Vantaa airport;2010;1;1;00:00;12,7
Vantaa Helsinki-Vantaa airport;2010;1;2;00:00;15
Vantaa Helsinki-Vantaa airport;2010;1;3;00:00;10,3
Vantaa Helsinki-Vantaa airport;2010;1;4;00:00;28,8
Vantaa Helsinki-Vantaa airport;2010;1;5;00:00;12,2
Vantaa Helsinki-Vantaa airport;2010;1;6;00:00;8,8
Vantaa Helsinki-Vantaa airport;2010;1;7;00:00;6,3
Vantaa Helsinki-Vantaa airport;2010;1;8;00:00;12,3
Vantaa Helsinki-Vantaa airport;2010;1;9;00:00;22,9
Vantaa Helsinki-Vantaa airport;2010;1;10;00:00;14,3
Vantaa Helsinki-Vantaa airport;2010;1;11;00:00;9,5
Vantaa Helsinki-Vantaa airport;2010;1;12;00:00;13,2
Vantaa Helsinki-Vantaa airport;2010;1;13;00:00;9,5
Vantaa Helsinki-Vantaa airport;2010;1;14;00:00;7,7
Vantaa Helsinki-Vantaa airport;2010;1;15;00:00;5,9
Vantaa Helsinki-Vantaa airport;2010;1;16;00:00;3
Vantaa Helsinki-Vantaa airport;2010;1;17;00:00;6,2
Vantaa Helsinki-Vantaa airport;2010;1;18;00:00;19,5
Vantaa Helsinki-Vantaa airport;2010;1;19;00:00;12,4
Vantaa Helsinki-Vantaa airport;2010;1;20;00:00;20,3
Vantaa Helsinki-Vantaa airport;2010;1;21;00:00;20,7
Vantaa Helsinki-Vantaa airport;2010;1;22;00:00;14,2
Vantaa Helsinki-Vantaa airport;2010;1;23;00:00;49,8
Vantaa Helsinki-Vantaa airport;2010;1;24;00:00;15,1
Vantaa Helsinki-Vantaa airport;2010;1;25;00:00;30,4
Vantaa Helsinki-Vantaa airport;2010;1;26;00:00;38,2
Vantaa Helsinki-Vantaa airport;2010;1;27;00:00;42,4
Vantaa Helsinki-Vantaa airport;2010;1;28;00:00;17,9
Vantaa Helsinki-Vantaa airport;2010;1;29;00:00;25,1
Vantaa Helsinki-Vantaa airport;2010;1;30;00:00;22,7
Vantaa Helsinki-Vantaa airport;2010;1;31;00:00;11,9
Vantaa Helsinki-Vantaa airport;2010;2;1;00:00;17,1
Vantaa Helsinki-Vantaa airport;2010;2;2;00:00;30,5
Vantaa Helsinki-Vantaa airport;2010;2;3;00:00;34,3
Vantaa Helsinki-Vantaa airport;2010;2;4;00:00;15,6
Vantaa Helsinki-Vantaa airport;2010;2;5;00:00;16,9
Vantaa Helsinki-Vantaa airport;2010;2;6;00:00;26,4
Vantaa Helsinki-Vantaa airport;2010;2;7;00:00;19,2
Vantaa Helsinki-Vantaa airport;2010;2;8;00:00;18,7
Vantaa Helsinki-Vantaa airport;2010;2;9;00:00;29
Vantaa Helsinki-Vantaa airport;2010;2;10;00:00;51,7
Vantaa Helsinki-Vantaa airport;2010;2;11;00:00;37,3
Vantaa Helsinki-Vantaa airport;2010;2;12;00:00;34,8
Vantaa Helsinki-Vantaa airport;2010;2;13;00:00;31,4
Vantaa Helsinki-Vantaa airport;2010;2;14;00:00;43,7
Vantaa Helsinki-Vantaa airport;2010;2;15;00:00;73,2
Vantaa Helsinki-Vantaa airport;2010;2;16;00:00;32,1
Vantaa Helsinki-Vantaa airport;2010;2;17;00:00;41,5
Vantaa Helsinki-Vantaa airport;2010;2;18;00:00;68,2
Vantaa Helsinki-Vantaa airport;2010;2;19;00:00;23,5
Vantaa Helsinki-Vantaa airport;2010;2;20;00:00;63
Vantaa Helsinki-Vantaa airport;2010;2;21;00:00;38,1
Vantaa Helsinki-Vantaa airport;2010;2;22;00:00;33,7
Vantaa Helsinki-Vantaa airport;2010;2;23;00:00;25,8
Vantaa Helsinki-Vantaa airport;2010;2;24;00:00;84,5
Vantaa Helsinki-Vantaa airport;2010;2;25;00:00;85,6
Vantaa Helsinki-Vantaa airport;2010;2;26;00:00;28,3
Vantaa Helsinki-Vantaa airport;2010;2;27;00:00;32,4
Vantaa Helsinki-Vantaa airport;2010;2;28;00:00;18
Vantaa Helsinki-Vantaa airport;2010;3;1;00:00;24,2
Vantaa Helsinki-Vantaa airport;2010;3;2;00:00;57,9
Vantaa Helsinki-Vantaa airport;2010;3;3;00:00;47,5
Vantaa Helsinki-Vantaa airport;2010;3;4;00:00;49,6
Vantaa Helsinki-Vantaa airport;2010;3;5;00:00;117,7
Vantaa Helsinki-Vantaa airport;2010;3;6;00:00;92
Vantaa Helsinki-Vantaa airport;2010;3;7;00:00;99,8
Vantaa Helsinki-Vantaa airport;2010;3;8;00:00;49,2
Vantaa Helsinki-Vantaa airport;2010;3;9;00:00;124,2
Vantaa Helsinki-Vantaa airport;2010;3;10;00:00;83,9
Vantaa Helsinki-Vantaa airport;2010;3;11;00:00;118,7
Vantaa Helsinki-Vantaa airport;2010;3;12;00:00;125,2
Vantaa Helsinki-Vantaa airport;2010;3;13;00:00;129,8
Vantaa Helsinki-Vantaa airport;2010;3;14;00:00;75,3
Vantaa Helsinki-Vantaa airport;2010;3;15;00:00;156,9
Vantaa Helsinki-Vantaa airport;2010;3;16;00:00;126,8
Vantaa Helsinki-Vantaa airport;2010;3;17;00:00;136,1
Vantaa Helsinki-Vantaa airport;2010;3;18;00:00;124,8
Vantaa Helsinki-Vantaa airport;2010;3;19;00:00;66,5
Vantaa Helsinki-Vantaa airport;2010;3;20;00:00;45,7
Vantaa Helsinki-Vantaa airport;2010;3;21;00:00;50
Vantaa Helsinki-Vantaa airport;2010;3;22;00:00;172,6
Vantaa Helsinki-Vantaa airport;2010;3;23;00:00;168,7
Vantaa Helsinki-Vantaa airport;2010;3;24;00:00;176,4
Vantaa Helsinki-Vantaa airport;2010;3;25;00:00;121,2
Vantaa Helsinki-Vantaa airport;2010;3;26;00:00;129,3
Vantaa Helsinki-Vantaa airport;2010;3;27;00:00;56
Vantaa Helsinki-Vantaa airport;2010;3;28;00:00;41,7
Vantaa Helsinki-Vantaa airport;2010;3;29;00:00;44,7
Vantaa Helsinki-Vantaa airport;2010;3;30;00:00;91,2
Vantaa Helsinki-Vantaa airport;2010;3;31;00:00;61,1
Vantaa Helsinki-Vantaa airport;2010;4;1;00:00;157,4
Vantaa Helsinki-Vantaa airport;2010;4;2;00:00;93,4
Vantaa Helsinki-Vantaa airport;2010;4;3;00:00;40,9
Vantaa Helsinki-Vantaa airport;2010;4;4;00:00;45,2
Vantaa Helsinki-Vantaa airport;2010;4;5;00:00;91,3
Vantaa Helsinki-Vantaa airport;2010;4;6;00:00;58,9
Vantaa Helsinki-Vantaa airport;2010;4;7;00:00;115,5
Vantaa Helsinki-Vantaa airport;2010;4;8;00:00;92,4
Vantaa Helsinki-Vantaa airport;2010;4;9;00:00;66,4
Vantaa Helsinki-Vantaa airport;2010;4;10;00:00;181,9
Vantaa Helsinki-Vantaa airport;2010;4;11;00:00;151,7
Vantaa Helsinki-Vantaa airport;2010;4;12;00:00;196,1
Vantaa Helsinki-Vantaa airport;2010;4;13;00:00;118,4
Vantaa Helsinki-Vantaa airport;2010;4;14;00:00;192,3
Vantaa Helsinki-Vantaa airport;2010;4;15;00:00;148,7
Vantaa Helsinki-Vantaa airport;2010;4;16;00:00;49,7
Vantaa Helsinki-Vantaa airport;2010;4;17;00:00;177,1
Vantaa Helsinki-Vantaa airport;2010;4;18;00:00;192,2
Vantaa Helsinki-Vantaa airport;2010;4;19;00:00;201,2
Vantaa Helsinki-Vantaa airport;2010;4;20;00:00;188
Vantaa Helsinki-Vantaa airport;2010;4;21;00:00;170,4
Vantaa Helsinki-Vantaa airport;2010;4;22;00:00;68,3
Vantaa Helsinki-Vantaa airport;2010;4;23;00:00;131,6
Vantaa Helsinki-Vantaa airport;2010;4;24;00:00;196,5
Vantaa Helsinki-Vantaa airport;2010;4;25;00:00;204,7
Vantaa Helsinki-Vantaa airport;2010;4;26;00:00;256,7
Vantaa Helsinki-Vantaa airport;2010;4;27;00:00;145,8
Vantaa Helsinki-Vantaa airport;2010;4;28;00:00;281,3
Vantaa Helsinki-Vantaa airport;2010;4;29;00:00;41,3
Vantaa Helsinki-Vantaa airport;2010;4;30;00:00;187,9
Vantaa Helsinki-Vantaa airport;2010;5;1;00:00;119
Vantaa Helsinki-Vantaa airport;2010;5;2;00:00;178,1
Vantaa Helsinki-Vantaa airport;2010;5;3;00:00;267,4
Vantaa Helsinki-Vantaa airport;2010;5;4;00:00;70,3
Vantaa Helsinki-Vantaa airport;2010;5;5;00:00;196,4
Vantaa Helsinki-Vantaa airport;2010;5;6;00:00;301,2
Vantaa Helsinki-Vantaa airport;2010;5;7;00:00;39,7
Vantaa Helsinki-Vantaa airport;2010;5;8;00:00;69,7
Vantaa Helsinki-Vantaa airport;2010;5;9;00:00;67,4
Vantaa Helsinki-Vantaa airport;2010;5;10;00:00;72,9
Vantaa Helsinki-Vantaa airport;2010;5;11;00:00;131,6
Vantaa Helsinki-Vantaa airport;2010;5;12;00:00;287,5
Vantaa Helsinki-Vantaa airport;2010;5;13;00:00;195,1
Vantaa Helsinki-Vantaa airport;2010;5;14;00:00;284
Vantaa Helsinki-Vantaa airport;2010;5;15;00:00;289,7
Vantaa Helsinki-Vantaa airport;2010;5;16;00:00;278,1
Vantaa Helsinki-Vantaa airport;2010;5;17;00:00;272,3
Vantaa Helsinki-Vantaa airport;2010;5;18;00:00;199,1
Vantaa Helsinki-Vantaa airport;2010;5;19;00:00;280
Vantaa Helsinki-Vantaa airport;2010;5;20;00:00;318,6
Vantaa Helsinki-Vantaa airport;2010;5;21;00:00;291,7
Vantaa Helsinki-Vantaa airport;2010;5;22;00:00;164,8
Vantaa Helsinki-Vantaa airport;2010;5;23;00:00;132,8
Vantaa Helsinki-Vantaa airport;2010;5;24;00:00;75,3
Vantaa Helsinki-Vantaa airport;2010;5;25;00:00;321,9
Vantaa Helsinki-Vantaa airport;2010;5;26;00:00;177,7
Vantaa Helsinki-Vantaa airport;2010;5;27;00:00;53,3
Vantaa Helsinki-Vantaa airport;2010;5;28;00:00;138,3
Vantaa Helsinki-Vantaa airport;2010;5;29;00:00;205,4
Vantaa Helsinki-Vantaa airport;2010;5;30;00:00;236,1
Vantaa Helsinki-Vantaa airport;2010;5;31;00:00;314,4
Vantaa Helsinki-Vantaa airport;2010;6;1;00:00;301
Vantaa Helsinki-Vantaa airport;2010;6;2;00:00;231,7
Vantaa Helsinki-Vantaa airport;2010;6;3;00:00;294,7
Vantaa Helsinki-Vantaa airport;2010;6;4;00:00;269,9
Vantaa Helsinki-Vantaa airport;2010;6;5;00:00;344,4
Vantaa Helsinki-Vantaa airport;2010;6;6;00:00;345,4
Vantaa Helsinki-Vantaa airport;2010;6;7;00:00;325,7
Vantaa Helsinki-Vantaa airport;2010;6;8;00:00;245,2
Vantaa Helsinki-Vantaa airport;2010;6;9;00:00;272,1
Vantaa Helsinki-Vantaa airport;2010;6;10;00:00;338,2
Vantaa Helsinki-Vantaa airport;2010;6;11;00:00;112,1
Vantaa Helsinki-Vantaa airport;2010;6;12;00:00;125,9
Vantaa Helsinki-Vantaa airport;2010;6;13;00:00;106,7
Vantaa Helsinki-Vantaa airport;2010;6;14;00:00;194,7
Vantaa Helsinki-Vantaa airport;2010;6;15;00:00;186,3
Vantaa Helsinki-Vantaa airport;2010;6;16;00:00;319,8
Vantaa Helsinki-Vantaa airport;2010;6;17;00:00;262,7
Vantaa Helsinki-Vantaa airport;2010;6;18;00:00;211,1
Vantaa Helsinki-Vantaa airport;2010;6;19;00:00;164,9
Vantaa Helsinki-Vantaa airport;2010;6;20;00:00;312,6
Vantaa Helsinki-Vantaa airport;2010;6;21;00:00;168,1
Vantaa Helsinki-Vantaa airport;2010;6;22;00:00;228
Vantaa Helsinki-Vantaa airport;2010;6;23;00:00;315,7
Vantaa Helsinki-Vantaa airport;2010;6;24;00:00;318,7
Vantaa Helsinki-Vantaa airport;2010;6;25;00:00;84,9
Vantaa Helsinki-Vantaa airport;2010;6;26;00:00;289,3
Vantaa Helsinki-Vantaa airport;2010;6;27;00:00;354,6
Vantaa Helsinki-Vantaa airport;2010;6;28;00:00;330,2
Vantaa Helsinki-Vantaa airport;2010;6;29;00:00;340,3
Vantaa Helsinki-Vantaa airport;2010;6;30;00:00;314,4
Vantaa Helsinki-Vantaa airport;2010;7;1;00:00;299,8
Vantaa Helsinki-Vantaa airport;2010;7;2;00:00;237,6
Vantaa Helsinki-Vantaa airport;2010;7;3;00:00;343,3
Vantaa Helsinki-Vantaa airport;2010;7;4;00:00;342
Vantaa Helsinki-Vantaa airport;2010;7;5;00:00;337,8
Vantaa Helsinki-Vantaa airport;2010;7;6;00:00;143,3
Vantaa Helsinki-Vantaa airport;2010;7;7;00:00;206,3
Vantaa Helsinki-Vantaa airport;2010;7;8;00:00;202,1
Vantaa Helsinki-Vantaa airport;2010;7;9;00:00;271,8
Vantaa Helsinki-Vantaa airport;2010;7;10;00:00;318,2
Vantaa Helsinki-Vantaa airport;2010;7;11;00:00;295,6
Vantaa Helsinki-Vantaa airport;2010;7;12;00:00;313,4
Vantaa Helsinki-Vantaa airport;2010;7;13;00:00;309,7
Vantaa Helsinki-Vantaa airport;2010;7;14;00:00;263,1
Vantaa Helsinki-Vantaa airport;2010;7;15;00:00;199,6
Vantaa Helsinki-Vantaa airport;2010;7;16;00:00;275,1
Vantaa Helsinki-Vantaa airport;2010;7;17;00:00;317,8
Vantaa Helsinki-Vantaa airport;2010;7;18;00:00;221,8
Vantaa Helsinki-Vantaa airport;2010;7;19;00:00;292,3
Vantaa Helsinki-Vantaa airport;2010;7;20;00:00;210,9
Vantaa Helsinki-Vantaa airport;2010;7;21;00:00;308,1
Vantaa Helsinki-Vantaa airport;2010;7;22;00:00;271
Vantaa Helsinki-Vantaa airport;2010;7;23;00:00;241,1
Vantaa Helsinki-Vantaa airport;2010;7;24;00:00;62,6
Vantaa Helsinki-Vantaa airport;2010;7;25;00:00;151,8
Vantaa Helsinki-Vantaa airport;2010;7;26;00:00;226
Vantaa Helsinki-Vantaa airport;2010;7;27;00:00;266,3
Vantaa Helsinki-Vantaa airport;2010;7;28;00:00;256,6
Vantaa Helsinki-Vantaa airport;2010;7;29;00:00;204,6
Vantaa Helsinki-Vantaa airport;2010;7;30;00:00;177,2
Vantaa Helsinki-Vantaa airport;2010;7;31;00:00;183,9
Vantaa Helsinki-Vantaa airport;2010;8;1;00:00;263,4
Vantaa Helsinki-Vantaa airport;2010;8;2;00:00;276,7
Vantaa Helsinki-Vantaa airport;2010;8;3;00:00;141,7
Vantaa Helsinki-Vantaa airport;2010;8;4;00:00;175,2
Vantaa Helsinki-Vantaa airport;2010;8;5;00:00;131,5
Vantaa Helsinki-Vantaa airport;2010;8;6;00:00;256,2
Vantaa Helsinki-Vantaa airport;2010;8;7;00:00;199,2
Vantaa Helsinki-Vantaa airport;2010;8;8;00:00;193
Vantaa Helsinki-Vantaa airport;2010;8;9;00:00;154,9
Vantaa Helsinki-Vantaa airport;2010;8;10;00:00;151,1
Vantaa Helsinki-Vantaa airport;2010;8;11;00:00;166,1
Vantaa Helsinki-Vantaa airport;2010;8;12;00:00;209,4
Vantaa Helsinki-Vantaa airport;2010;8;13;00:00;236,7
Vantaa Helsinki-Vantaa airport;2010;8;14;00:00;92,5
Vantaa Helsinki-Vantaa airport;2010;8;15;00:00;170,1
Vantaa Helsinki-Vantaa airport;2010;8;16;00:00;264
Vantaa Helsinki-Vantaa airport;2010;8;17;00:00;174
Vantaa Helsinki-Vantaa airport;2010;8;18;00:00;86,5
Vantaa Helsinki-Vantaa airport;2010;8;19;00:00;253,8
Vantaa Helsinki-Vantaa airport;2010;8;20;00:00;181,7
Vantaa Helsinki-Vantaa airport;2010;8;21;00:00;145,4
Vantaa Helsinki-Vantaa airport;2010;8;22;00:00;181,9
Vantaa Helsinki-Vantaa airport;2010;8;23;00:00;183,7
Vantaa Helsinki-Vantaa airport;2010;8;24;00:00;59,1
Vantaa Helsinki-Vantaa airport;2010;8;25;00:00;141,2
Vantaa Helsinki-Vantaa airport;2010;8;26;00:00;135,2
Vantaa Helsinki-Vantaa airport;2010;8;27;00:00;93,2
Vantaa Helsinki-Vantaa airport;2010;8;28;00:00;106,4
Vantaa Helsinki-Vantaa airport;2010;8;29;00:00;71,5
Vantaa Helsinki-Vantaa airport;2010;8;30;00:00;140
Vantaa Helsinki-Vantaa airport;2010;8;31;00:00;116,4
Vantaa Helsinki-Vantaa airport;2010;9;1;00:00;142,8
Vantaa Helsinki-Vantaa airport;2010;9;2;00:00;101,4
Vantaa Helsinki-Vantaa airport;2010;9;3;00:00;34,8
Vantaa Helsinki-Vantaa airport;2010;9;4;00:00;85,5
Vantaa Helsinki-Vantaa airport;2010;9;5;00:00;72,3
Vantaa Helsinki-Vantaa airport;2010;9;6;00:00;79,4
Vantaa Helsinki-Vantaa airport;2010;9;7;00:00;140,8
Vantaa Helsinki-Vantaa airport;2010;9;8;00:00;98,7
Vantaa Helsinki-Vantaa airport;2010;9;9;00:00;134,4
Vantaa Helsinki-Vantaa airport;2010;9;10;00:00;144,1
Vantaa Helsinki-Vantaa airport;2010;9;11;00:00;23,4
Vantaa Helsinki-Vantaa airport;2010;9;12;00:00;84,2
Vantaa Helsinki-Vantaa airport;2010;9;13;00:00;130,5
Vantaa Helsinki-Vantaa airport;2010;9;14;00:00;41,3
Vantaa Helsinki-Vantaa airport;2010;9;15;00:00;17,1
Vantaa Helsinki-Vantaa airport;2010;9;16;00:00;107,6
Vantaa Helsinki-Vantaa airport;2010;9;17;00:00;79,5
Vantaa Helsinki-Vantaa airport;2010;9;18;00:00;58,4
Vantaa Helsinki-Vantaa airport;2010;9;19;00:00;95
Vantaa Helsinki-Vantaa airport;2010;9;20;00:00;104,3
Vantaa Helsinki-Vantaa airport;2010;9;21;00:00;16,5
Vantaa Helsinki-Vantaa airport;2010;9;22;00:00;55,8
Vantaa Helsinki-Vantaa airport;2010;9;23;00:00;98,7
Vantaa Helsinki-Vantaa airport;2010;9;24;00:00;63
Vantaa Helsinki-Vantaa airport;2010;9;25;00:00;117,4
Vantaa Helsinki-Vantaa airport;2010;9;26;00:00;35,5
Vantaa Helsinki-Vantaa airport;2010;9;27;00:00;97
Vantaa Helsinki-Vantaa airport;2010;9;28;00:00;112,6
Vantaa Helsinki-Vantaa airport;2010;9;29;00:00;124
Vantaa Helsinki-Vantaa airport;2010;9;30;00:00;116,1
Vantaa Helsinki-Vantaa airport;2010;10;1;00:00;125,6
Vantaa Helsinki-Vantaa airport;2010;10;2;00:00;108,5
Vantaa Helsinki-Vantaa airport;2010;10;3;00:00;63,8
Vantaa Helsinki-Vantaa airport;2010;10;4;00:00;104,2
Vantaa Helsinki-Vantaa airport;2010;10;5;00:00;92,5
Vantaa Helsinki-Vantaa airport;2010;10;6;00:00;109,7
Vantaa Helsinki-Vantaa airport;2010;10;7;00:00;104,3
Vantaa Helsinki-Vantaa airport;2010;10;8;00:00;36,8
Vantaa Helsinki-Vantaa airport;2010;10;9;00:00;29,2
Vantaa Helsinki-Vantaa airport;2010;10;10;00:00;35,4
Vantaa Helsinki-Vantaa airport;2010;10;11;00:00;96,8
Vantaa Helsinki-Vantaa airport;2010;10;12;00:00;80,1
Vantaa Helsinki-Vantaa airport;2010;10;13;00:00;95,8
Vantaa Helsinki-Vantaa airport;2010;10;14;00:00;38
Vantaa Helsinki-Vantaa airport;2010;10;15;00:00;41,5
Vantaa Helsinki-Vantaa airport;2010;10;16;00:00;31,9
Vantaa Helsinki-Vantaa airport;2010;10;17;00:00;52
Vantaa Helsinki-Vantaa airport;2010;10;18;00:00;59,8
Vantaa Helsinki-Vantaa airport;2010;10;19;00:00;47,1
Vantaa Helsinki-Vantaa airport;2010;10;20;00:00;13,5
Vantaa Helsinki-Vantaa airport;2010;10;21;00:00;14,4
Vantaa Helsinki-Vantaa airport;2010;10;22;00:00;22,3
Vantaa Helsinki-Vantaa airport;2010;10;23;00:00;74
Vantaa Helsinki-Vantaa airport;2010;10;24;00:00;12,2
Vantaa Helsinki-Vantaa airport;2010;10;25;00:00;14,9
Vantaa Helsinki-Vantaa airport;2010;10;26;00:00;30,6
Vantaa Helsinki-Vantaa airport;2010;10;27;00:00;61,2
Vantaa Helsinki-Vantaa airport;2010;10;28;00:00;5,8
Vantaa Helsinki-Vantaa airport;2010;10;29;00:00;26,2
Vantaa Helsinki-Vantaa airport;2010;10;30;00:00;6,9
Vantaa Helsinki-Vantaa airport;2010;10;31;00:00;10
Vantaa Helsinki-Vantaa airport;2010;11;1;00:00;10,7
Vantaa Helsinki-Vantaa airport;2010;11;2;00:00;13,2
Vantaa Helsinki-Vantaa airport;2010;11;3;00:00;5,1
Vantaa Helsinki-Vantaa airport;2010;11;4;00:00;17,7
Vantaa Helsinki-Vantaa airport;2010;11;5;00:00;29,8
Vantaa Helsinki-Vantaa airport;2010;11;6;00:00;17,4
Vantaa Helsinki-Vantaa airport;2010;11;7;00:00;39,2
Vantaa Helsinki-Vantaa airport;2010;11;8;00:00;40,8
Vantaa Helsinki-Vantaa airport;2010;11;9;00:00;9,4
Vantaa Helsinki-Vantaa airport;2010;11;10;00:00;8,1
Vantaa Helsinki-Vantaa airport;2010;11;11;00:00;6,1
Vantaa Helsinki-Vantaa airport;2010;11;12;00:00;12,3
Vantaa Helsinki-Vantaa airport;2010;11;13;00:00;7,8
Vantaa Helsinki-Vantaa airport;2010;11;14;00:00;17,5
Vantaa Helsinki-Vantaa airport;2010;11;15;00:00;6,4
Vantaa Helsinki-Vantaa airport;2010;11;16;00:00;15,9
Vantaa Helsinki-Vantaa airport;2010;11;17;00:00;9,2
Vantaa Helsinki-Vantaa airport;2010;11;18;00:00;7,7
Vantaa Helsinki-Vantaa airport;2010;11;19;00:00;15,1
Vantaa Helsinki-Vantaa airport;2010;11;20;00:00;6,6
Vantaa Helsinki-Vantaa airport;2010;11;21;00:00;7,7
Vantaa Helsinki-Vantaa airport;2010;11;22;00:00;5,6
Vantaa Helsinki-Vantaa airport;2010;11;23;00:00;9,6
Vantaa Helsinki-Vantaa airport;2010;11;24;00:00;5,1
Vantaa Helsinki-Vantaa airport;2010;11;25;00:00;14,6
Vantaa Helsinki-Vantaa airport;2010;11;26;00:00;14,6
Vantaa Helsinki-Vantaa airport;2010;11;27;00:00;13,7
Vantaa Helsinki-Vantaa airport;2010;11;28;00:00;22,2
Vantaa Helsinki-Vantaa airport;2010;11;29;00:00;27
Vantaa Helsinki-Vantaa airport;2010;11;30;00:00;21,8
Vantaa Helsinki-Vantaa airport;2010;12;1;00:00;18
Vantaa Helsinki-Vantaa airport;2010;12;2;00:00;6
Vantaa Helsinki-Vantaa airport;2010;12;3;00:00;5,2
Vantaa Helsinki-Vantaa airport;2010;12;4;00:00;5,5
Vantaa Helsinki-Vantaa airport;2010;12;5;00:00;6,6
Vantaa Helsinki-Vantaa airport;2010;12;6;00:00;6,5
Vantaa Helsinki-Vantaa airport;2010;12;7;00:00;11
Vantaa Helsinki-Vantaa airport;2010;12;8;00:00;7,4
Vantaa Helsinki-Vantaa airport;2010;12;9;00:00;3,5
Vantaa Helsinki-Vantaa airport;2010;12;10;00:00;7
Vantaa Helsinki-Vantaa airport;2010;12;11;00:00;4,3
Vantaa Helsinki-Vantaa airport;2010;12;12;00:00;7,7
Vantaa Helsinki-Vantaa airport;2010;12;13;00:00;11,7
Vantaa Helsinki-Vantaa airport;2010;12;14;00:00;6,5
Vantaa Helsinki-Vantaa airport;2010;12;15;00:00;10,7
Vantaa Helsinki-Vantaa airport;2010;12;16;00:00;2,9
Vantaa Helsinki-Vantaa airport;2010;12;17;00:00;5,6
Vantaa Helsinki-Vantaa airport;2010;12;18;00:00;5,7
Vantaa Helsinki-Vantaa airport;2010;12;19;00:00;7,1
Vantaa Helsinki-Vantaa airport;2010;12;20;00:00;8,8
Vantaa Helsinki-Vantaa airport;2010;12;21;00:00;7,2
Vantaa Helsinki-Vantaa airport;2010;12;22;00:00;6,7
Vantaa Helsinki-Vantaa airport;2010;12;23;00:00;14,9
Vantaa Helsinki-Vantaa airport;2010;12;24;00:00;7,4
Vantaa Helsinki-Vantaa airport;2010;12;25;00:00;5,7
Vantaa Helsinki-Vantaa airport;2010;12;26;00:00;6
Vantaa Helsinki-Vantaa airport;2010;12;27;00:00;5,4
Vantaa Helsinki-Vantaa airport;2010;12;28;00:00;3,9
Vantaa Helsinki-Vantaa airport;2010;12;29;00:00;3,7
Vantaa Helsinki-Vantaa airport;2010;12;30;00:00;4,5
Vantaa Helsinki-Vantaa airport;2010;12;31;00:00;8,8
Vantaa Helsinki-Vantaa airport;2011;1;1;00:00;5,3
Vantaa Helsinki-Vantaa airport;2011;1;2;00:00;8,6
Vantaa Helsinki-Vantaa airport;2011;1;3;00:00;10,4
Vantaa Helsinki-Vantaa airport;2011;1;4;00:00;8,4
Vantaa Helsinki-Vantaa airport;2011;1;5;00:00;8,1
Vantaa Helsinki-Vantaa airport;2011;1;6;00:00;5
Vantaa Helsinki-Vantaa airport;2011;1;7;00:00;3,4
Vantaa Helsinki-Vantaa airport;2011;1;8;00:00;7,3
Vantaa Helsinki-Vantaa airport;2011;1;9;00:00;3
Vantaa Helsinki-Vantaa airport;2011;1;10;00:00;4,1
Vantaa Helsinki-Vantaa airport;2011;1;11;00:00;7,7
Vantaa Helsinki-Vantaa airport;2011;1;12;00:00;6,7
Vantaa Helsinki-Vantaa airport;2011;1;13;00:00;15,6
